Product ID,Model Type,Size Type,Image URL,Product URL
adidas-harden-vol-3-radioactive,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-3-Radioactive.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1561165967",https://stockx.com/adidas-harden-vol-3-radioactive
adidas-harden-vol-3-invader,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-3-Invader-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1581718010",https://stockx.com/adidas-harden-vol-3-invader
adidas-harden-vol-3-grey-two,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-3-Grey-Two-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1564168668",https://stockx.com/adidas-harden-vol-3-grey-two
adidas-tmac-1-marvel-nick-fury,Basketball,Men,"https://stockx.imgix.net/adidas-Tmac-1-Marvel-Nick-Fury-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1567541851",https://stockx.com/adidas-tmac-1-marvel-nick-fury
adidas-harden-vol-3-drew-league,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-3-Drew-League-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1549049867",https://stockx.com/adidas-harden-vol-3-drew-league
adidas-t-mac-1-white-royal-2019,Basketball,Men,"https://stockx.imgix.net/adidas-T-Mac-1-White-Royal-2019-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1573502731",https://stockx.com/adidas-t-mac-1-white-royal-2019
adidas-n3xt-l3v3l-shock-red,Basketball,Men,"https://stockx.imgix.net/adidas-N3xt-L3v3l-Shock-Red.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1551413280",https://stockx.com/adidas-n3xt-l3v3l-shock-red
adidas-harden-volpt-1-yacht-party,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Volpt-1-Yacht-Party.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-harden-volpt-1-yacht-party
adidas-marquee-boost-low-yellow-purple-black,Basketball,Men,"https://stockx.imgix.net/adidas-Marquee-Boost-Low-Yellow-Purple-Black.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1543374113",https://stockx.com/adidas-marquee-boost-low-yellow-purple-black
adidas-pro-vision-marvel-captain-marvel,Basketball,Men,"https://stockx.imgix.net/adidas-Pro-Vision-Marvel-Captain-Marvel-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1573502731",https://stockx.com/adidas-pro-vision-marvel-captain-marvel
adidas-harden-vol-2-grey-one,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Vol-2-Grey-One.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-harden-vol-2-grey-one
adidas-crazy-explosive-low-day-one-clay-brown,Basketball,Men,"https://stockx.imgix.net/Adidas-Crazy-Explosive-Low-Day-One-Clay-Brown.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-crazy-explosive-low-day-one-clay-brown
adidas-crazy-1-playoffs,Basketball,Men,"https://stockx.imgix.net/adidas-Crazy-1-Playoffs.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1546067203",https://stockx.com/adidas-crazy-1-playoffs
adidas-crazy-explosive-andrew-wiggins-away,Basketball,Men,"https://stockx.imgix.net/Adidas-Crazy-Explosive-Andrew-Wiggins-Away.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-crazy-explosive-andrew-wiggins-away
adidas-harden-vol-2-imma-be-a-star,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Vol-2-Imma-Be-A-Star.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-harden-vol-2-imma-be-a-star
