id,brand,model,product_name,condition,last_sale,last_sale_size,lowest_ask,highest_bid,since_last_sale_dollar,since_last_sale_percent,colorway,retail_price,release_date,high_52_week,low_52_week,low_12_month_trade,high_12_month_trade,volatility,num_sales_12_month,price_premium_12_month,avg_sale_price_12_month,period
adidas-solar-hu-pharrell-greyscale-pack-grey,adidas,solar,adidas solar hu pharrell greyscale pack grey,New,9100.0,10.5,9000.0,7900.0,-2700.0,-23.0,Grey Three/Grey Three/Grey Three,15705.0,2019-07-20,20000.0,5400.0,5600.0,12600.0,38.0,318.0,-42.7,9400.0,456.0
adidas-stan-smith-bait-happy-420,adidas,stan,"adidas stan smith bait ""happy 420""",New,20500.0,9,31700.0,36800.0,-26900.0,-57.0,,12564.0,2016-04-20,47500.0,13800.0,11300.0,29700.0,44.6,17.0,61.7,28600.0,1642.0
adidas-sl20-noah-blue,adidas,sl20,adidas sl20 noah blue,New,15800.0,9,11600.0,15800.0,1000.0,7.0,Blue/Core White/Lush Red,13611.0,2020-08-27,18500.0,9500.0,13600.0,17900.0,13.2,14.0,14.7,14500.0,52.0
adidas-nite-jogger-ice-mint-w,adidas,nite,adidas nite jogger ice mint (w),New,5200.0,9.5,4100.0,4000.0,700.0,14.0,Ice Mint/Clear Mint/Raw White,13611.0,2019-04-11,14900.0,3200.0,4500.0,6000.0,15.0,35.0,-62.3,6200.0,556.0
adidas-superstar-white-black-haze-coral-w,adidas,superstar,adidas superstar white black haze coral (w),New,8500.0,10W,8500.0,4200.0,4300.0,100.0,Cloud White/Core Black/Haze Coral,9423.0,2020-06-01,8500.0,4300.0,6400.0,10600.0,25.0,2.0,-11.1,6400.0,139.0
adidas-ultra-boost-2019-core-black-active-red,adidas,ultra,adidas ultra boost 2019 core black active red,New,7400.0,13,10500.0,9400.0,-200.0,-3.0,Core Black/Orchid Tint/Active Red,18846.0,2019-02-01,21000.0,6400.0,2500.0,12400.0,66.8,58.0,-61.1,12000.0,625.0
adidas-y-3-noci-low-crystal-white,adidas,y-3,adidas y-3 noci low crystal white,New,26100.0,9.5,20600.0,15000.0,0.0,0.0,Crystal White/Crystal White/Utility Black,41880.0,2017-03-01,26100.0,26100.0,23400.0,28700.0,,1.0,-38.3,26100.0,1327.0
adidas-eqt-support-ultraboost-clay-cream,adidas,eqt,adidas eqt support ultraboost clay cream,New,5300.0,9.5,6400.0,7000.0,0.0,0.0,Cream White/Talc/Clay Brown,16752.0,,5300.0,5300.0,4800.0,5800.0,,1.0,-68.8,5300.0,
adidas-ultra-boost-dna-star-wars-princess-leia,adidas,ultra,adidas ultra boost dna star wars princess leia,New,14400.0,12,16700.0,13700.0,3700.0,35.0,White/Black/Grey,18846.0,,30200.0,10700.0,7800.0,20900.0,45.8,9.0,-24.4,22600.0,
adidas-yeezy-boost-350-v2-linen,adidas,yeezy,adidas yeezy boost 350 v2 linen,New,29100.0,9.5,30500.0,45300.0,-2400.0,-8.0,Linen/Linen/Linen,23034.0,2020-04-18,68600.0,25300.0,27500.0,30800.0,6.0,13930.0,25.5,33100.0,183.0
adidas-eqt-support-93-17-grey-heather,adidas,eqt,adidas eqt support 93/17 grey heather,New,10600.0,12,7400.0,,2700.0,33.0,,18846.0,2017-10-05,10600.0,8000.0,9400.0,11700.0,11.4,4.0,-44.4,9400.0,1109.0
